vocab,property,endpointUrl
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#imports,http://sparql.orthodb.org/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#scopeNote,http://vocab.getty.edu/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate,https://druid.datalegend.net/AdamNet/Heritage/sparql/Heritage
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#annotatedSource,http://jsu.eagle-i.net/sparqler/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#notation,https://zbw.eu/beta/sparql/stw/query
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#onDatatype,http://virtuoso.plateforme.dipso.inrae.fr/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ohsu.eagle-i.net/sparqler/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#comment,http://www.ss-framework.com/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://api.druid.datalegend.net/datasets/dataLegend/jobHoard/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#onClass,https://dbmi-icode-01.dbmi.pitt.edu/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2008/05/skos-xl#literalForm,https://jpsearch.go.jp/rdf/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://ma-graph.org/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#minCardinality,http://sparql.southgreen.fr
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#domain,http://cultura.linkeddata.es/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#comment,https://rdf.metanetx.org/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#related,http://datos.bne.es/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2008/05/skos-xl#literalForm,https://publications.europa.eu/webapi/rdf/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2008/05/skos-xl#literalForm,https://druid.datalegend.net/AdamNet/Heritage/sparql/Heritage
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#range,http://sparql.europeana.eu
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#editorialNote,https://triplestore.iccu.sbn.it/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#domain,http://ma-graph.org/sparql
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#disjoint,https://publications.europa.eu/webapi/rdf/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2008/05/skos-xl#prefLabel,http://taxref.mnhn.fr/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://cultura.linkeddata.es/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#imports,https://query.wikidata.org/bigdata/namespace/wdq/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#maxCardinality,https://dati.isprambiente.it/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#scopeNote,https://api.finto.fi/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#onDataRange,http://uriburner.com/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#label,https://api.parliament.uk/sparql
